,Mont Saint Michel,St Malo,Bayeux,Le Havre,Rouen,Paris,Amiens,Lille,Strasbourg,Chateau du Haut Koenigsbourg,Colmar,Eguisheim,Besancon,Dijon,Annecy,Grenoble,Lyon,Gorges du Verdon,Bormes les Mimosas,Cassis,Marseille,Aix en Provence,Avignon,Uzes,Nimes,Aigues Mortes,Saintes Maries de la mer,Collioure,Carcassonne,Ariege,Toulouse,Montauban,Biarritz,Bayonne,La Rochelle
lat,48.6359541,48.6495180,49.2764624,49.4938975,49.4404591,48.8534951,49.8941708,50.6365654,48.5846140,48.2494107,48.0777517,48.0447968,47.2380222,47.3215806,45.8992348,45.1875602,45.7578137,43.7496562,43.1506968,43.2140359,43.2961743,43.5298424,43.9492493,44.0121279,43.8374249,43.5661521,43.4515922,42.5250500,43.2130358,42.9455368,43.6044638,44.0175835,43.4711437,43.4945144,46.1597320
lon,-1.5114600,-2.0260409,-0.7024738,0.1079732,1.0939658,2.3483915,2.2956951,3.0635282,7.7507127,7.3443202,7.3579641,7.3079618,6.0243622,5.0414701,6.1288847,5.7357819,4.8320114,6.3285616,6.3419285,5.5396318,5.3699525,5.4474738,4.8059012,4.4196718,4.3600687,4.1915400,4.4277202,3.0831554,2.3491069,1.4065544,1.4442433,1.3549991,-1.5527266,-1.4736657,-1.1515951
