,city,name,url,review_score,description,location
10,Mont Saint Michel,Le Canari,https://www.booking.com/hotel/fr/le-canari.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=906613901_361742678_5_2_0&highlighted_blocks=906613901_361742678_5_2_0&matching_block_id=906613901_361742678_5_2_0&sr_pri_blocks=906613901_361742678_5_2_0__22850&from=searchresults,"8,9",Hébergement géré par un particulier,Huisnes-sur-Mer
11,Mont Saint Michel,Au Mont De La Rive #Jaccuzi et Mont-Saint-Michel #,https://www.booking.com/hotel/fr/au-mont-de-la-rive-jaccuzi-et-mont-saint-michel.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=1371380901_409342249_6_0_0&highlighted_blocks=1371380901_409342249_6_0_0&matching_block_id=1371380901_409342249_6_0_0&sr_pri_blocks=1371380901_409342249_6_0_0__85320&from=searchresults,"9,5","3 lits (2 lits doubles, 1 grand lit double)",Pontorson
12,Mont Saint Michel,Au Mont Chez Nous # Jacuzzi & Sauna #,https://www.booking.com/hotel/fr/26-route-de-la-rive-ardevon.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=490623801_163792703_0_0_0&highlighted_blocks=490623801_163792703_0_0_0&matching_block_id=490623801_163792703_0_0_0&sr_pri_blocks=490623801_163792703_0_0_0__91710&from=searchresults,"9,7","6 lits (2 lits simples, 2 lits doubles, 1 canapé-lit, 1 grand lit double)",Pontorson
13,Mont Saint Michel,Au Mont Chez Vous #Jacuzzi et Vue Mont-St-Michel#,https://www.booking.com/hotel/fr/au-mont-chez-vous-jacuzzi-et-vue-mont-st-michel.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=863770901_394184585_10_0_0&highlighted_blocks=863770901_394184585_10_0_0&matching_block_id=863770901_394184585_10_0_0&sr_pri_blocks=863770901_394184585_10_0_0__126380&from=searchresults,"9,6","5 lits (2 lits doubles, 2 très grands lits doubles, 1 grand lit double)",Huisnes-sur-Mer
14,Mont Saint Michel,Les Bruyères du Mont,https://www.booking.com/hotel/fr/les-bruyeres-du-mont.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=179719102_278415550_2_2_0&highlighted_blocks=179719102_278415550_2_2_0&matching_block_id=179719102_278415550_2_2_0&sr_pri_blocks=179719102_278415550_2_2_0__22840&from=searchresults,"9,1",1 grand lit double,Céaux
15,Mont Saint Michel,Gîtes Bellevue et Mascaret,https://www.booking.com/hotel/fr/bellevue-courtils.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=165443702_208008629_0_0_0&highlighted_blocks=165443702_208008629_0_0_0&matching_block_id=165443702_208008629_0_0_0&sr_pri_blocks=165443702_208008629_0_0_0__24150&from=searchresults,"6,9",Hébergement géré par un particulier,Courtils
16,Mont Saint Michel,"The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud",https://www.booking.com/hotel/fr/lessalines.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=5186515_380479086_2_34_0&highlighted_blocks=5186515_380479086_2_34_0&matching_block_id=5186515_380479086_2_34_0&sr_pri_blocks=5186515_380479086_2_34_0__18494&from=searchresults,"7,9",1 lit double,Roz-sur-Couesnon
17,Mont Saint Michel,La Bastide du Moulin - Mont St Michel,https://www.booking.com/hotel/fr/chambres-d-ha-tes-la-bastide-du-moulin.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=63146004_326755129_2_2_0&highlighted_blocks=63146004_326755129_2_2_0&matching_block_id=63146004_326755129_2_2_0&sr_pri_blocks=63146004_326755129_2_2_0__14540&from=searchresults,"9,5",2 lits doubles,Moidrey
18,Mont Saint Michel,La Vieille Foulonnière : Chambres d'hôtes & Permaculture,https://www.booking.com/hotel/fr/la-vieille-foulonniere-chambres-d-39-hotes-amp-permaculture.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=458246303_187394136_0_1_0&highlighted_blocks=458246303_187394136_0_1_0&matching_block_id=458246303_187394136_0_1_0&sr_pri_blocks=458246303_187394136_0_1_0__31500&from=searchresults,"9,4",Plusieurs types de lits,Pontorson
19,Mont Saint Michel,"Manoir de la Roche Torin, The Originals Relais",https://www.booking.com/hotel/fr/le-manoir-de-la-roche-torin.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=50322101_193830035_0_42_0&highlighted_blocks=50322101_193830035_0_42_0&matching_block_id=50322101_193830035_0_42_0&sr_pri_blocks=50322101_193830035_0_42_0__34120&from=searchresults,"7,8",1 lit double,Courtils
20,Mont Saint Michel,Les Gîtes du Couesnon,https://www.booking.com/hotel/fr/les-ga-r-tes-du-couesnon.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=70981003_187407576_2_0_0&highlighted_blocks=70981003_187407576_2_0_0&matching_block_id=70981003_187407576_2_0_0&sr_pri_blocks=70981003_187407576_2_0_0__23412&from=searchresults,"9,5",Hébergement géré par un particulier,Pontorson
21,Mont Saint Michel,Camping La Baie du Mont Saint Michel,https://www.booking.com/hotel/fr/mobil-home-4-47-6-personnes-ceaux.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=632935504_373758966_4_0_0&highlighted_blocks=632935504_373758966_4_0_0&matching_block_id=632935504_373758966_4_0_0&sr_pri_blocks=632935504_373758966_4_0_0__12688&from=searchresults,"9,0","3 lits (2 lits simples, 1 lit double)",Céaux
22,Mont Saint Michel,Les Prairies de la Baie,https://www.booking.com/hotel/fr/les-prairies-de-la-baie-parking-proche-gare.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=1455273201_416892912_4_0_0&highlighted_blocks=1455273201_416892912_4_0_0&matching_block_id=1455273201_416892912_4_0_0&sr_pri_blocks=1455273201_416892912_4_0_0__19530&from=searchresults,"8,5",Hébergement géré par un particulier,Pontorson
