,city,name,url,review_score,description,location,lat,lon
10,Biarritz,Hôtel Jules Verne Biarritz,https://www.booking.com/hotel/fr/karitza-biarritz.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=20929430_88559422_0_2_0&highlighted_blocks=20929430_88559422_0_2_0&matching_block_id=20929430_88559422_0_2_0&sr_pri_blocks=20929430_88559422_0_2_0__21176&from=searchresults,"8,3",2 lits simples,"{'tourism': 'Jules Verne', 'road': 'Avenue François Mauriac', 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4786845,-1.5557719
11,Biarritz,Studio à La Grande Plage de Biarritz,https://www.booking.com/hotel/fr/charmant-studio-hyper-centre-biarritz.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=994060201_372351160_4_0_0&highlighted_blocks=994060201_372351160_4_0_0&matching_block_id=994060201_372351160_4_0_0&sr_pri_blocks=994060201_372351160_4_0_0__12785&from=searchresults,"8,8",Hébergement géré par un particulier,missing value,,
12,Biarritz,ibis Styles Biarritz Plage,https://www.booking.com/hotel/fr/hotellebiarritz.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=20930120_88559420_2_33_0&highlighted_blocks=20930120_88559420_2_33_0&matching_block_id=20930120_88559420_2_33_0&sr_pri_blocks=20930120_88559420_2_33_0__26730&from=searchresults,"8,5",1 lit double,missing value,,
13,Biarritz,Hotel Marbella,https://www.booking.com/hotel/fr/citotelmarbella.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=39421_362634718_0_2_0&highlighted_blocks=39421_362634718_0_2_0&matching_block_id=39421_362634718_0_2_0&sr_pri_blocks=39421_362634718_0_2_0__18460&from=searchresults,"7,9",1 lit double,"{'tourism': 'Hôtel Marbella', 'road': 'Rue du Port-Vieux', 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4820501,-1.5660901
14,Biarritz,Hotel de Silhouette,https://www.booking.com/hotel/fr/de-silhouette-biarritz.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=30817201_88559439_0_10_0&highlighted_blocks=30817201_88559439_0_10_0&matching_block_id=30817201_88559439_0_10_0&sr_pri_blocks=30817201_88559439_0_10_0__38896&from=searchresults,"9,1",1 grand lit double,"{'tourism': 'Hôtel de Silhouette', 'road': 'Rue Gambetta', 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.481062,-1.5633816
15,Biarritz,Hôtel Cosmopolitain,https://www.booking.com/hotel/fr/palacito.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=25470401_88559432_0_2_0_743684&highlighted_blocks=25470401_88559432_0_2_0_743684&matching_block_id=25470401_88559432_0_2_0_743684&sr_pri_blocks=25470401_88559432_0_2_0_743684_21780&from=searchresults,"8,1",1 grand lit double,"{'tourism': 'Hôtel Cosmopolitain', 'house_number': '1', 'road': 'Rue Gambetta', 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4820414,-1.5618977
16,Biarritz,Hôtel VAL FLORES LOGIS,https://www.booking.com/hotel/fr/logis-val-flores.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=18040205_380821369_0_2_0&highlighted_blocks=18040205_380821369_0_2_0&matching_block_id=18040205_380821369_0_2_0&sr_pri_blocks=18040205_380821369_0_2_0__17600&from=searchresults,"7,6",1 lit double,"{'tourism': 'Hôtel VAL FLORES LOGIS', 'house_number': '48', 'road': 'Avenue de la Marne', 'subdivision': 'Lapurdi', 'suburb': 'Aguiléra', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4837303,-1.548567
17,Biarritz,Résidence Biarritz Ocean,https://www.booking.com/hotel/fr/biarritz-ocean.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5354803_88918779_0_0_0&highlighted_blocks=5354803_88918779_0_0_0&matching_block_id=5354803_88918779_0_0_0&sr_pri_blocks=5354803_88918779_0_0_0__21696&from=searchresults,"8,6","2 lits (1 lit double, 1 lit superposé)","{'building': 'Résidence Biarritz Océan', 'road': 'Rue Étienne Ardoin', 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4802965,-1.5579007
18,Biarritz,ALFRED HOTELS Port,https://www.booking.com/hotel/fr/georges-vi.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5901032_88559414_2_2_0&highlighted_blocks=5901032_88559414_2_2_0&matching_block_id=5901032_88559414_2_2_0&sr_pri_blocks=5901032_88559414_2_2_0__26131&from=searchresults,"9,2",1 grand lit double,missing value,,
19,Biarritz,Sofitel Biarritz Le Miramar Thalassa,https://www.booking.com/hotel/fr/thalassa-miramar-biarritz.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5737108_94276954_2_42_0&highlighted_blocks=5737108_94276954_2_42_0&matching_block_id=5737108_94276954_2_42_0&sr_pri_blocks=5737108_94276954_2_42_0__34814&from=searchresults,"7,9",1 lit simple,missing value,,
