,city,date,cloudiness,temp_min,temp_max,humidity,pop,rain
75,St Malo,2026-02-13,64,5.8,5.8,86,1.0,0.59
76,St Malo,2026-02-13,100,4.42,4.42,94,1.0,1.03
77,St Malo,2026-02-14,100,5.54,5.54,69,1.0,0.46
78,St Malo,2026-02-14,84,5.09,5.09,64,0.0,0.0
79,St Malo,2026-02-14,53,4.74,4.74,62,0.0,0.0
80,Bayeux,2026-02-09,100,5.14,6.99,88,0.0,0.0
81,Bayeux,2026-02-09,100,6.91,10.44,85,0.0,0.0
82,Bayeux,2026-02-09,100,7.94,9.34,84,0.28,0.22
83,Bayeux,2026-02-09,100,8.99,8.99,91,1.0,4.07
84,Bayeux,2026-02-09,96,10.03,10.03,92,0.34,0.22
85,Bayeux,2026-02-10,97,9.13,9.13,93,0.36,0.13
86,Bayeux,2026-02-10,100,9.83,9.83,93,1.0,1.09
87,Bayeux,2026-02-10,100,9.66,9.66,93,1.0,0.18
88,Bayeux,2026-02-10,100,10.14,10.14,90,0.2,0.14
89,Bayeux,2026-02-10,100,12.36,12.36,82,0.0,0.0
90,Bayeux,2026-02-10,100,11.41,11.41,94,1.0,6.38
91,Bayeux,2026-02-10,100,11.3,11.3,96,1.0,1.88
92,Bayeux,2026-02-10,94,10.33,10.33,91,0.2,0.17
93,Bayeux,2026-02-11,97,10.55,10.55,91,0.25,0.34
94,Bayeux,2026-02-11,100,10.27,10.27,90,0.0,0.0
95,Bayeux,2026-02-11,96,9.29,9.29,88,0.32,0.4
96,Bayeux,2026-02-11,99,9.54,9.54,86,0.38,0.21
97,Bayeux,2026-02-11,99,11.36,11.36,77,0.0,0.0
98,Bayeux,2026-02-11,100,12.08,12.08,80,0.0,0.0
99,Bayeux,2026-02-11,100,10.02,10.02,93,1.0,5.39
100,Bayeux,2026-02-11,100,10.6,10.6,85,1.0,4.45
101,Bayeux,2026-02-12,86,7.63,7.63,87,0.8,0.0
102,Bayeux,2026-02-12,78,8.06,8.06,92,0.99,0.43
103,Bayeux,2026-02-12,89,8.69,8.69,92,0.33,0.15
104,Bayeux,2026-02-12,94,9.42,9.42,88,1.0,0.43
105,Bayeux,2026-02-12,55,10.9,10.9,81,0.91,0.42
106,Bayeux,2026-02-12,25,9.99,9.99,82,0.9,0.47
107,Bayeux,2026-02-12,49,7.64,7.64,90,0.0,0.0
108,Bayeux,2026-02-12,17,6.97,6.97,91,0.0,0.0
109,Bayeux,2026-02-13,49,7.75,7.75,86,0.0,0.0
110,Bayeux,2026-02-13,55,6.11,6.11,94,0.0,0.0
111,Bayeux,2026-02-13,56,5.87,5.87,92,0.0,0.0
112,Bayeux,2026-02-13,75,7.36,7.36,84,0.0,0.0
113,Bayeux,2026-02-13,79,9.53,9.53,77,0.2,0.37
114,Bayeux,2026-02-13,99,8.21,8.21,87,1.0,1.08
115,Bayeux,2026-02-13,81,6.77,6.77,91,1.0,0.93
116,Bayeux,2026-02-13,68,4.28,4.28,97,1.0,0.37
117,Bayeux,2026-02-14,84,3.13,3.13,92,1.0,1.39
118,Bayeux,2026-02-14,100,4.08,4.08,67,0.86,0.0
119,Bayeux,2026-02-14,83,3.36,3.36,62,0.39,0.0
120,Le Havre,2026-02-09,0,7.51,7.77,87,0.0,0.0
121,Le Havre,2026-02-09,33,8.22,9.65,84,0.0,0.0
122,Le Havre,2026-02-09,52,9.62,10.67,77,0.0,0.0
123,Le Havre,2026-02-09,89,9.14,9.14,88,1.0,2.36
124,Le Havre,2026-02-09,100,9.3,9.3,91,1.0,4.74
125,Le Havre,2026-02-10,100,9.85,9.85,90,1.0,0.11
126,Le Havre,2026-02-10,92,9.43,9.43,95,1.0,0.94
127,Le Havre,2026-02-10,97,9.67,9.67,93,1.0,0.21
128,Le Havre,2026-02-10,100,9.72,9.72,92,0.2,0.21
129,Le Havre,2026-02-10,100,10.31,10.31,87,0.2,0.13
130,Le Havre,2026-02-10,99,10.19,10.19,97,1.0,5.02
131,Le Havre,2026-02-10,100,10.87,10.87,97,1.0,3.18
132,Le Havre,2026-02-10,100,10.53,10.53,91,0.74,0.39
133,Le Havre,2026-02-11,100,10.29,10.29,93,1.0,0.68
134,Le Havre,2026-02-11,100,10.35,10.35,87,0.68,0.35
135,Le Havre,2026-02-11,100,10.11,10.11,87,1.0,0.56
136,Le Havre,2026-02-11,100,9.85,9.85,85,1.0,0.67
137,Le Havre,2026-02-11,100,10.42,10.42,79,0.73,0.0
138,Le Havre,2026-02-11,100,10.84,10.84,81,0.0,0.0
139,Le Havre,2026-02-11,100,9.77,9.77,93,1.0,2.69
140,Le Havre,2026-02-11,100,11.24,11.24,83,1.0,9.05
141,Le Havre,2026-02-12,99,9.37,9.37,80,1.0,0.1
142,Le Havre,2026-02-12,99,8.58,8.58,87,0.0,0.0
143,Le Havre,2026-02-12,100,9.07,9.07,86,0.38,0.46
144,Le Havre,2026-02-12,100,9.73,9.73,84,1.0,0.74
145,Le Havre,2026-02-12,70,10.0,10.0,80,1.0,0.23
146,Le Havre,2026-02-12,43,9.85,9.85,79,0.22,0.21
147,Le Havre,2026-02-12,65,9.11,9.11,84,0.0,0.0
148,Le Havre,2026-02-12,88,8.33,8.33,87,0.2,0.11
149,Le Havre,2026-02-13,91,8.55,8.55,85,0.0,0.0
150,Le Havre,2026-02-13,81,7.4,7.4,89,0.0,0.0
151,Le Havre,2026-02-13,59,7.62,7.62,87,0.0,0.0
152,Le Havre,2026-02-13,100,8.32,8.32,80,0.0,0.0
153,Le Havre,2026-02-13,92,8.29,8.29,80,0.2,0.28
154,Le Havre,2026-02-13,80,8.55,8.55,81,1.0,1.11
155,Le Havre,2026-02-13,90,8.22,8.22,86,1.0,1.89
156,Le Havre,2026-02-13,80,5.52,5.52,94,1.0,1.15
157,Le Havre,2026-02-14,90,4.33,4.33,94,1.0,2.69
158,Le Havre,2026-02-14,100,5.04,5.04,74,1.0,1.74
159,Le Havre,2026-02-14,85,4.74,4.74,61,0.8,0.0
160,Rouen,2026-02-09,100,5.18,6.32,93,0.0,0.0
161,Rouen,2026-02-09,100,6.74,9.86,88,0.0,0.0
162,Rouen,2026-02-09,99,9.33,11.41,78,0.0,0.0
163,Rouen,2026-02-09,100,9.75,9.75,75,0.0,0.0
164,Rouen,2026-02-09,100,8.29,8.29,94,1.0,5.47
165,Rouen,2026-02-10,100,8.77,8.77,94,1.0,0.67
166,Rouen,2026-02-10,100,9.65,9.65,96,0.71,0.41
167,Rouen,2026-02-10,100,9.85,9.85,93,1.0,0.55
168,Rouen,2026-02-10,100,9.82,9.82,91,0.2,0.17
169,Rouen,2026-02-10,96,11.66,11.66,79,0.0,0.0
170,Rouen,2026-02-10,97,11.22,11.22,90,0.95,0.49
171,Rouen,2026-02-10,98,11.36,11.36,96,1.0,6.0
172,Rouen,2026-02-10,100,11.45,11.45,93,1.0,1.28
173,Rouen,2026-02-11,100,10.88,10.88,92,1.0,0.38
174,Rouen,2026-02-11,100,10.57,10.57,88,0.49,0.26
175,Rouen,2026-02-11,100,10.4,10.4,86,0.78,0.41
176,Rouen,2026-02-11,98,10.33,10.33,83,1.0,0.69
177,Rouen,2026-02-11,100,11.26,11.26,78,0.85,0.18
178,Rouen,2026-02-11,100,12.0,12.0,76,0.2,0.12
179,Rouen,2026-02-11,100,10.44,10.44,90,1.0,1.4
180,Rouen,2026-02-11,100,11.69,11.69,85,1.0,11.22
181,Rouen,2026-02-12,95,9.59,9.59,83,1.0,0.66
182,Rouen,2026-02-12,55,7.34,7.34,87,0.0,0.0
183,Rouen,2026-02-12,78,8.31,8.31,87,0.32,0.47
184,Rouen,2026-02-12,100,9.89,9.89,82,0.66,0.33
185,Rouen,2026-02-12,76,11.28,11.28,77,1.0,0.48
186,Rouen,2026-02-12,18,10.76,10.76,75,0.0,0.0
187,Rouen,2026-02-12,30,8.25,8.25,83,0.0,0.0
188,Rouen,2026-02-12,77,7.14,7.14,90,0.0,0.0
189,Rouen,2026-02-13,76,6.72,6.72,93,0.2,0.1
190,Rouen,2026-02-13,85,6.86,6.86,91,0.0,0.0
191,Rouen,2026-02-13,84,5.6,5.6,92,0.0,0.0
192,Rouen,2026-02-13,98,8.07,8.07,77,0.0,0.0
193,Rouen,2026-02-13,99,9.0,9.0,73,0.0,0.0
194,Rouen,2026-02-13,100,8.29,8.29,79,0.31,0.28
195,Rouen,2026-02-13,100,6.34,6.34,91,1.0,1.3
196,Rouen,2026-02-13,100,6.64,6.64,91,0.91,0.44
197,Rouen,2026-02-14,100,1.93,1.93,96,1.0,0.0
198,Rouen,2026-02-14,100,1.99,1.99,87,1.0,0.0
199,Rouen,2026-02-14,100,3.13,3.13,72,1.0,0.0
200,Paris,2026-02-09,100,4.79,6.64,97,0.0,0.0
201,Paris,2026-02-09,100,6.4,9.62,87,0.0,0.0
202,Paris,2026-02-09,100,9.26,11.5,75,0.0,0.0
203,Paris,2026-02-09,100,10.58,10.58,63,0.0,0.0
204,Paris,2026-02-09,100,9.22,9.22,80,1.0,1.0
205,Paris,2026-02-10,100,8.86,8.86,88,1.0,6.45
206,Paris,2026-02-10,100,9.35,9.35,95,1.0,1.13
207,Paris,2026-02-10,100,10.18,10.18,86,1.0,1.96
208,Paris,2026-02-10,95,10.09,10.09,82,0.2,0.19
209,Paris,2026-02-10,97,11.09,11.09,77,0.0,0.0
210,Paris,2026-02-10,85,12.79,12.79,75,0.0,0.0
211,Paris,2026-02-10,92,11.18,11.18,93,1.0,2.97
212,Paris,2026-02-10,100,12.09,12.09,90,1.0,6.04
213,Paris,2026-02-11,100,11.76,11.76,81,1.0,3.72
214,Paris,2026-02-11,100,11.61,11.61,82,0.2,0.11
215,Paris,2026-02-11,100,11.3,11.3,78,0.2,0.2
216,Paris,2026-02-11,93,11.39,11.39,73,0.2,0.16
217,Paris,2026-02-11,69,13.25,13.25,63,0.2,0.23
218,Paris,2026-02-11,92,13.11,13.11,65,0.0,0.0
219,Paris,2026-02-11,96,10.98,10.98,85,1.0,1.59
220,Paris,2026-02-11,100,12.53,12.53,80,1.0,9.5
221,Paris,2026-02-12,84,11.09,11.09,71,1.0,1.21
222,Paris,2026-02-12,100,9.44,9.44,78,0.44,0.29
223,Paris,2026-02-12,96,9.05,9.05,81,0.4,0.26
224,Paris,2026-02-12,100,9.51,9.51,78,1.0,0.89
225,Paris,2026-02-12,98,12.18,12.18,64,1.0,0.47
226,Paris,2026-02-12,10,12.45,12.45,57,0.01,0.0
227,Paris,2026-02-12,12,10.17,10.17,70,0.0,0.0
228,Paris,2026-02-12,71,8.74,8.74,74,0.0,0.0
229,Paris,2026-02-13,64,8.43,8.43,83,0.0,0.0
230,Paris,2026-02-13,100,8.57,8.57,82,0.48,0.33
231,Paris,2026-02-13,67,6.65,6.65,86,0.0,0.0
232,Paris,2026-02-13,95,7.58,7.58,86,0.0,0.0
233,Paris,2026-02-13,98,9.56,9.56,72,0.2,0.22
234,Paris,2026-02-13,93,10.82,10.82,61,0.83,0.34
235,Paris,2026-02-13,88,9.56,9.56,68,1.0,0.75
236,Paris,2026-02-13,100,7.86,7.86,80,1.0,1.2
237,Paris,2026-02-14,96,6.92,6.92,86,1.0,0.22
238,Paris,2026-02-14,100,2.07,2.07,90,1.0,0.0
239,Paris,2026-02-14,100,2.79,2.79,67,1.0,0.0
240,Amiens,2026-02-09,100,5.25,5.25,92,0.0,0.0
241,Amiens,2026-02-09,100,6.36,8.57,87,0.0,0.0
242,Amiens,2026-02-09,99,8.88,10.69,79,0.0,0.0
243,Amiens,2026-02-09,94,7.56,7.56,87,0.0,0.0
244,Amiens,2026-02-09,100,8.11,8.11,79,0.0,0.0
245,Amiens,2026-02-10,100,7.79,7.79,94,1.0,5.11
246,Amiens,2026-02-10,100,8.29,8.29,93,0.37,0.11
247,Amiens,2026-02-10,100,8.48,8.48,97,0.57,0.47
248,Amiens,2026-02-10,100,9.79,9.79,91,0.98,0.5
249,Amiens,2026-02-10,100,10.57,10.57,86,0.65,0.18
250,Amiens,2026-02-10,87,12.13,12.13,74,0.2,0.14
251,Amiens,2026-02-10,93,10.34,10.34,95,1.0,2.78
252,Amiens,2026-02-10,100,11.32,11.32,95,1.0,1.81
253,Amiens,2026-02-11,100,11.01,11.01,89,1.0,0.17
254,Amiens,2026-02-11,100,10.82,10.82,91,1.0,0.61
255,Amiens,2026-02-11,100,10.51,10.51,84,1.0,0.1
256,Amiens,2026-02-11,100,9.96,9.96,84,1.0,0.73
257,Amiens,2026-02-11,98,10.06,10.06,83,1.0,0.28
258,Amiens,2026-02-11,96,11.54,11.54,71,0.2,0.14
259,Amiens,2026-02-11,98,10.55,10.55,84,0.2,0.22
260,Amiens,2026-02-11,100,9.69,9.69,96,1.0,8.87
261,Amiens,2026-02-12,100,10.8,10.8,81,1.0,4.04
262,Amiens,2026-02-12,100,8.22,8.22,84,0.0,0.0
263,Amiens,2026-02-12,100,7.96,7.96,87,0.2,0.14
264,Amiens,2026-02-12,100,8.72,8.72,86,1.0,1.58
265,Amiens,2026-02-12,99,9.97,9.97,82,1.0,0.42
266,Amiens,2026-02-12,86,9.63,9.63,78,0.22,0.21
267,Amiens,2026-02-12,82,8.0,8.0,84,0.0,0.0
268,Amiens,2026-02-12,72,7.09,7.09,89,0.0,0.0
269,Amiens,2026-02-13,79,6.93,6.93,87,0.0,0.0
270,Amiens,2026-02-13,82,7.1,7.1,91,0.35,0.25
271,Amiens,2026-02-13,89,7.2,7.2,85,0.0,0.0
272,Amiens,2026-02-13,91,6.73,6.73,87,0.0,0.0
273,Amiens,2026-02-13,95,8.42,8.42,76,0.0,0.0
274,Amiens,2026-02-13,100,8.73,8.73,78,0.93,0.47
275,Amiens,2026-02-13,100,7.61,7.61,80,0.99,0.52
276,Amiens,2026-02-13,100,7.02,7.02,88,0.21,0.0
277,Amiens,2026-02-14,100,1.38,1.38,97,1.0,0.0
278,Amiens,2026-02-14,100,2.07,2.07,73,1.0,0.0
279,Amiens,2026-02-14,100,2.31,2.31,79,0.75,0.0
280,Lille,2026-02-09,100,4.08,5.8,89,0.0,0.0
281,Lille,2026-02-09,100,5.9,6.09,86,0.0,0.0
282,Lille,2026-02-09,100,8.3,9.55,79,0.0,0.0
283,Lille,2026-02-09,82,7.11,7.11,87,0.0,0.0
284,Lille,2026-02-09,100,5.49,5.49,87,0.0,0.0
285,Lille,2026-02-10,100,7.61,7.61,81,0.0,0.0
286,Lille,2026-02-10,100,7.29,7.29,91,1.0,0.99
287,Lille,2026-02-10,99,7.41,7.41,94,0.8,0.0
288,Lille,2026-02-10,100,7.9,7.9,94,0.0,0.0
289,Lille,2026-02-10,100,10.65,10.65,85,0.0,0.0
290,Lille,2026-02-10,95,11.05,11.05,80,0.22,0.3
291,Lille,2026-02-10,98,9.97,9.97,83,0.0,0.0
292,Lille,2026-02-10,100,9.49,9.49,96,1.0,6.29
293,Lille,2026-02-11,100,10.67,10.67,91,1.0,0.47
294,Lille,2026-02-11,100,10.17,10.17,94,0.0,0.0
295,Lille,2026-02-11,100,10.56,10.56,82,0.0,0.0
296,Lille,2026-02-11,100,10.43,10.43,79,0.0,0.0
297,Lille,2026-02-11,95,10.8,10.8,81,0.27,0.42
298,Lille,2026-02-11,100,10.45,10.45,78,0.21,0.2
